State,AgeGroup,Income,SavingsRate,Savings,PLI,Food,Transport,Housing,Health,Subscription,Restaurants,Clothing,Fitness,Others
W.P. Putrajaya,15-19,5024.94,0.1932,971.03,2450,451.4,59.83,1583.63,105.56,445.03,728.08,122.18,179.25,378.96
W.P. Kuala Lumpur,55-59,6876.93,0.1674,1151.07,2816,440.38,722.15,2465.79,123.73,200.34,523.74,95.16,228.33,926.22
Sarawak,30-34,2838.49,0.0702,199.3,2618,750.77,299.53,724.87,72.9,176.04,255.52,87.14,54.24,218.17
Pahang,50-54,3474.47,0.1956,679.77,2480,793.11,332.14,667.18,80.8,212.11,321.2,94.17,64.35,229.63
Perak,40-44,3322.61,0.1949,647.52,2297,949.23,203.7,788.86,90.47,142.81,245.05,82.59,28.72,143.68
W.P. Labuan,25-29,7173.22,0.1873,1343.65,2816,1042.04,601.89,1946.36,101.81,624.45,786.06,118.82,135.56,472.58
Pulau Pinang,25-29,5751.44,0.1693,973.57,2250,636.55,405.9,1354.64,128.7,393.67,1051.82,154.69,141.87,510.04
Perak,20-24,4217.13,0.1582,667.25,2297,931.43,384.93,812.66,110.6,268.11,516.86,130.38,73.13,321.8
Perlis,60-64,7805.0,0.1991,1553.6,2140,935.61,1185.84,1666.79,173.4,297.85,489.74,174.63,212.85,1114.69
Terengganu,40-44,4062.27,0.1597,648.6,2751,978.64,338.99,707.66,91.3,237.0,585.45,150.15,59.34,265.15
Johor,50-54,3783.76,0.1487,562.46,2589,956.82,286.53,1004.67,149.41,179.34,318.86,83.62,48.08,193.97
Melaka,35-39,9306.36,0.1973,1836.28,2670,848.03,1397.45,1848.86,285.18,305.87,567.14,326.55,450.23,1440.76
Pulau Pinang,40-44,4961.57,0.1564,775.81,2250,621.23,372.17,1169.88,110.79,338.73,924.26,133.75,95.79,419.17
Johor,45-49,5108.53,0.1607,820.75,2589,829.75,465.38,1122.58,170.41,369.9,592.13,124.26,120.75,492.62
Kelantan,45-49,5051.19,0.1762,889.96,2271,1022.67,501.79,902.86,64.8,309.72,792.93,117.27,75.52,373.67
W.P. Labuan,25-29,7119.21,0.1898,1350.92,2816,776.98,786.16,2378.41,101.72,288.96,352.46,120.07,164.94,798.59
Perlis,50-54,4327.91,0.1557,673.8,2140,937.84,497.21,748.9,100.13,332.27,528.36,109.38,72.08,327.92
W.P. Putrajaya,60-64,4084.31,0.0906,370.05,2450,469.45,51.85,1516.59,102.62,377.36,614.84,112.3,140.49,328.76
Pulau Pinang,55-59,3402.53,0.116,394.73,2250,644.02,243.43,1007.47,85.84,181.62,487.51,96.96,43.16,217.81
W.P. Labuan,40-44,4974.29,0.1534,763.26,2816,896.09,441.74,1382.19,77.93,423.87,501.52,93.77,77.46,316.46
Perlis,30-34,3049.8,0.1996,608.83,2140,685.15,333.98,521.35,61.13,197.13,320.23,72.83,38.6,210.56
Sarawak,55-59,4648.64,0.158,734.44,2618,1003.94,472.3,1010.94,111.4,297.93,423.73,120.5,107.21,366.24
W.P. Kuala Lumpur,15-19,4272.37,0.1009,430.93,2816,565.37,379.57,1359.44,94.57,255.23,688.32,72.64,86.24,340.06
Perak,60-64,4963.55,0.175,868.79,2297,896.76,440.09,1006.67,123.71,330.34,641.17,144.92,109.39,401.72
Sabah,60-64,2875.26,0.0779,224.12,2742,833.4,267.49,903.48,52.0,140.75,223.85,68.96,19.82,141.38
Perlis,20-24,4180.86,0.155,648.21,2140,942.87,466.84,709.97,90.18,310.7,527.4,104.43,64.74,315.52
Selangor,25-29,3022.81,0.0672,203.05,2830,515.68,308.88,855.39,71.19,199.82,477.11,82.91,56.43,252.36
Selangor,15-19,3290.19,0.0863,283.98,2830,486.08,315.96,884.23,75.02,241.95,562.79,87.94,67.1,285.14
Kelantan,45-49,5573.34,0.1803,1004.67,2271,1147.96,541.72,945.21,68.3,342.81,870.08,124.31,73.3,454.97
Perak,25-29,6047.46,0.198,1197.69,2297,903.93,529.35,1236.46,156.06,414.51,783.32,150.57,144.44,531.13
Negeri Sembilan,60-64,5023.2,0.1586,796.52,2402,807.72,500.4,977.79,134.24,402.85,606.25,128.39,203.55,465.49
W.P. Kuala Lumpur,45-49,3414.73,0.0713,243.31,2816,557.28,312.57,1207.95,72.23,186.6,481.27,55.92,60.99,236.62
W.P. Putrajaya,60-64,3894.03,0.0996,387.83,2450,488.16,48.5,1421.54,94.13,357.02,547.46,120.58,125.62,303.17
Sabah,55-59,4320.98,0.1513,653.59,2742,950.57,405.43,1130.82,84.07,271.01,398.11,109.85,43.28,274.27
Johor,30-34,3092.72,0.1041,321.87,2589,689.72,314.88,758.9,117.15,186.13,317.83,89.36,57.84,239.03
Pulau Pinang,15-19,4675.85,0.1464,684.42,2250,594.83,344.4,1158.38,107.56,307.94,872.43,122.9,92.22,390.78
Selangor,15-19,4184.16,0.199,832.48,2830,469.69,370.78,945.94,85.82,279.2,699.52,92.45,89.15,319.13
Terengganu,50-54,5338.53,0.1803,962.3,2751,961.8,465.51,972.15,122.24,347.96,825.42,181.31,114.46,385.39
Kelantan,25-29,3673.81,0.1422,522.45,2271,944.69,369.72,673.66,49.35,201.93,529.95,95.71,38.35,247.99
W.P. Putrajaya,45-49,5007.64,0.1923,963.17,2450,442.47,57.62,1620.72,110.31,458.71,677.12,117.91,182.13,377.5
Pahang,45-49,4548.78,0.1558,708.58,2480,936.58,412.59,900.02,119.13,369.97,536.46,120.31,106.41,338.72
Perlis,20-24,4427.37,0.1583,700.65,2140,945.33,500.45,766.99,103.09,312.36,556.03,113.88,73.8,354.78
Terengganu,25-29,4499.84,0.1617,727.69,2751,866.66,383.06,826.89,102.27,301.03,706.82,160.08,85.19,340.14
Perlis,60-64,5132.05,0.1722,883.6,2140,1120.33,559.32,881.01,119.33,376.53,606.99,125.75,83.32,375.86
W.P. Putrajaya,60-64,3123.12,0.0676,211.04,2450,449.56,36.37,1350.59,76.8,248.47,390.13,86.58,74.97,198.6
W.P. Labuan,30-34,4042.2,0.1911,772.47,2816,754.94,349.06,1082.49,61.11,306.31,366.79,77.91,56.36,214.75
Selangor,35-39,3317.8,0.0823,273.02,2830,674.25,267.15,1075.71,92.91,181.45,440.85,77.02,47.74,187.69
Kedah,50-54,3913.24,0.1542,603.34,2627,990.68,446.9,708.2,88.96,241.17,385.29,167.71,48.92,232.09
Pahang,35-39,4254.95,0.1591,676.98,2480,840.64,406.45,823.86,109.23,347.98,516.7,114.19,100.41,318.51
Perlis,15-19,4393.72,0.1539,676.21,2140,953.1,518.2,796.86,96.8,327.8,508.41,116.76,65.74,333.82
Negeri Sembilan,40-44,6593.08,0.1819,1199.16,2402,889.75,621.65,1342.66,176.68,542.69,798.65,134.6,270.08,617.17
W.P. Labuan,25-29,2981.17,0.0638,190.11,2816,895.86,214.98,1081.86,53.17,164.75,196.14,54.12,25.65,104.52
Perak,50-54,4925.72,0.1625,800.66,2297,909.59,435.17,1019.34,125.06,337.67,623.31,150.36,108.15,416.4
W.P. Labuan,40-44,4938.32,0.1578,779.02,2816,843.24,439.07,1372.77,76.06,399.0,522.85,99.04,93.27,314.0
W.P. Labuan,55-59,6913.87,0.1812,1252.74,2816,976.75,555.99,2023.82,100.52,574.75,727.24,115.28,133.76,453.03
Pahang,15-19,4406.74,0.1518,669.0,2480,750.59,427.85,873.67,108.41,358.25,587.18,120.34,137.17,374.29
Sarawak,60-64,5396.18,0.1788,964.61,2618,907.76,508.22,1234.1,118.2,381.46,528.96,118.95,168.67,465.27
Johor,50-54,4511.86,0.1542,695.76,2589,852.13,428.27,953.17,153.11,313.52,518.78,120.25,88.73,388.12
Pahang,55-59,4152.97,0.145,602.06,2480,962.03,390.98,838.45,100.66,291.45,467.25,113.6,81.78,304.72
W.P. Putrajaya,45-49,5384.5,0.1907,1026.59,2450,508.61,60.76,1804.26,122.26,458.1,695.73,136.27,186.15,385.78
Johor,50-54,2734.72,0.0636,173.99,2589,717.3,258.03,746.68,102.32,148.26,278.63,75.31,42.21,191.98
Selangor,15-19,5772.38,0.1557,898.79,2830,579.33,548.8,1363.39,128.62,434.88,998.35,128.43,157.95,533.86
Perak,45-49,5177.59,0.1711,885.72,2297,1007.57,444.99,1002.69,134.94,339.33,656.22,160.64,98.02,447.48
Selangor,50-54,5707.72,0.1568,895.16,2830,605.11,513.97,1378.58,117.7,433.44,962.02,138.42,133.29,530.02
Pulau Pinang,25-29,6147.01,0.1729,1063.11,2250,563.07,409.25,1483.26,128.81,423.43,1206.83,134.41,155.05,579.79
Selangor,30-34,3886.49,0.1955,759.75,2830,434.39,340.55,900.54,77.04,272.36,630.58,89.51,85.28,296.49
Perak,55-59,3423.95,0.1934,662.31,2297,845.11,291.59,654.93,85.24,176.17,347.88,106.73,42.45,211.53
Terengganu,25-29,2148.63,0.036,77.42,2751,721.76,183.38,469.46,58.13,123.43,278.23,82.22,26.18,128.42
Kedah,25-29,6946.12,0.1979,1374.96,2627,1082.35,815.2,1241.65,157.1,526.47,775.28,245.5,148.33,579.28
Pulau Pinang,45-49,4699.14,0.1405,660.12,2250,674.77,346.82,1168.84,116.57,304.83,830.14,141.01,80.77,375.26
Perak,40-44,3702.27,0.1431,529.82,2297,872.6,330.83,761.01,98.68,230.62,419.6,122.9,52.6,283.61
W.P. Labuan,50-54,3707.15,0.192,711.66,2816,860.62,289.32,993.66,54.67,238.64,279.0,70.62,36.94,172.03
Selangor,60-64,3876.66,0.1186,459.81,2830,442.85,374.05,970.42,92.04,296.46,694.04,93.73,95.58,357.67
Perak,40-44,2793.63,0.1059,295.73,2297,918.41,204.98,701.61,82.29,125.82,238.68,71.67,26.16,128.27
Pulau Pinang,35-39,3121.55,0.0971,303.1,2250,577.8,231.88,869.38,80.59,192.22,480.22,95.61,50.55,240.2
Kedah,45-49,4723.55,0.1664,786.07,2627,1044.92,554.45,846.41,109.72,295.79,495.86,186.88,71.58,331.86
W.P. Labuan,35-39,4744.04,0.1479,701.55,2816,957.12,391.99,1340.6,73.72,375.85,460.17,98.47,69.25,275.31
Melaka,30-34,6124.71,0.1868,1143.87,2670,717.11,676.55,1094.1,196.26,436.12,787.03,181.76,264.69,627.22
Pahang,60-64,5518.53,0.1783,984.07,2480,928.91,527.12,1072.15,128.34,434.31,699.47,144.91,163.98,435.27
Johor,50-54,5354.78,0.1742,932.7,2589,776.03,488.45,1193.74,167.87,355.57,682.44,130.81,142.68,484.49
W.P. Kuala Lumpur,30-34,5171.36,0.193,997.84,2816,466.62,444.48,1464.74,99.35,310.24,794.27,67.83,132.95,393.05
W.P. Putrajaya,40-44,4786.75,0.1162,556.13,2450,463.97,61.8,1635.51,120.98,478.93,745.39,128.35,187.51,408.19
Sabah,25-29,4148.75,0.1451,601.89,2742,854.2,412.22,1126.41,79.67,264.55,385.91,107.69,44.71,271.49
W.P. Kuala Lumpur,15-19,4104.23,0.1064,436.74,2816,448.6,344.43,1320.26,88.37,271.53,652.11,62.19,102.94,377.06
Sarawak,25-29,3049.82,0.1005,306.47,2618,862.86,298.09,741.52,73.58,173.22,246.61,85.07,52.22,210.19
Pulau Pinang,50-54,3888.55,0.1964,763.52,2250,602.65,270.35,981.98,86.78,195.44,559.69,108.19,57.56,262.39
Pulau Pinang,60-64,6481.99,0.1718,1113.35,2250,528.3,577.67,1936.55,154.44,214.68,571.95,170.94,205.08,1009.04
Pahang,35-39,2836.9,0.0851,241.35,2480,864.31,224.5,758.84,86.27,170.61,239.07,67.76,42.98,141.22
Negeri Sembilan,25-29,4593.7,0.1542,708.23,2402,848.35,451.98,887.6,128.37,369.33,534.28,122.64,143.54,399.39
Pulau Pinang,60-64,5546.94,0.16,887.62,2250,671.07,416.43,1303.7,134.58,379.01,1030.11,145.85,109.92,468.64
Melaka,45-49,4805.16,0.1547,743.43,2670,755.24,564.96,844.65,167.44,345.98,598.8,183.83,158.64,442.18
Selangor,50-54,2999.22,0.0661,198.17,2830,562.81,285.21,909.82,73.06,194.29,443.64,81.31,46.09,204.82
Terengganu,20-24,5851.17,0.1969,1152.18,2751,732.56,668.35,1285.03,136.24,195.37,477.8,201.17,173.26,829.21
W.P. Putrajaya,50-54,4357.45,0.1028,447.82,2450,547.06,56.87,1573.08,107.45,387.64,621.1,129.85,145.29,341.3
W.P. Putrajaya,25-29,4232.11,0.1021,432.17,2450,547.49,54.94,1599.02,110.74,356.89,548.8,123.32,134.63,324.11
Terengganu,45-49,3485.65,0.1428,497.7,2751,998.13,268.2,695.81,86.02,166.04,433.83,116.62,36.64,186.66
Sarawak,45-49,6448.64,0.1981,1277.49,2618,1043.08,630.9,1469.76,131.73,427.04,624.15,135.31,198.75,510.42
Sarawak,40-44,3604.11,0.1961,706.59,2618,956.61,309.34,852.53,74.24,160.75,232.49,87.26,43.28,181.01
W.P. Putrajaya,20-24,5168.77,0.1982,1024.53,2450,482.32,56.13,1678.79,116.18,459.4,671.91,131.48,169.52,378.52
Perlis,20-24,2108.43,0.0413,87.08,2140,669.04,242.32,481.3,54.28,134.46,227.26,57.04,25.33,130.3
Sarawak,25-29,3685.66,0.1447,533.33,2618,874.94,341.14,866.81,88.0,228.98,324.5,98.04,69.87,260.05
W.P. Labuan,30-34,3793.14,0.1974,748.86,2816,750.83,300.9,1006.09,52.97,267.71,353.89,73.62,43.7,194.58
Terengganu,15-19,5458.44,0.1885,1029.04,2751,888.38,443.08,974.15,125.36,372.55,893.11,149.73,126.73,456.31
Kedah,20-24,2547.04,0.049,124.83,2627,780.55,332.84,501.96,66.94,160.59,245.54,124.41,35.6,173.77
W.P. Kuala Lumpur,45-49,4075.58,0.1088,443.39,2816,480.05,352.36,1312.28,85.86,260.46,675.49,64.21,86.56,314.94
Pulau Pinang,55-59,7136.2,0.1957,1396.29,2250,650.77,498.01,1711.2,148.54,496.61,1275.59,153.1,187.12,618.99
Melaka,35-39,4661.77,0.16,745.66,2670,775.32,530.76,825.39,158.24,316.37,582.27,192.46,122.41,412.89
Kedah,60-64,5895.52,0.1977,1165.36,2627,928.94,662.95,1061.2,140.1,430.78,702.21,198.85,124.25,480.88
W.P. Kuala Lumpur,50-54,4346.77,0.1188,516.51,2816,627.73,396.87,1369.28,92.82,234.48,640.3,71.2,78.91,318.67
Terengganu,50-54,3343.29,0.1996,667.28,2751,878.57,251.64,636.97,72.98,159.96,376.0,101.98,33.97,163.94
Selangor,50-54,5410.91,0.1523,824.1,2830,736.78,493.71,1368.4,121.23,360.74,823.18,141.81,100.9,440.05
Negeri Sembilan,15-19,5481.42,0.1688,925.17,2402,734.81,518.39,1064.07,140.02,460.46,740.35,119.22,236.78,542.14
Perak,50-54,7256.83,0.198,1437.07,2297,1109.95,614.19,1421.45,180.79,508.81,978.57,181.02,168.37,656.6
Johor,45-49,4997.25,0.1696,847.37,2589,731.27,484.14,1096.91,161.25,332.67,645.64,123.88,143.69,430.44
Terengganu,60-64,2879.4,0.1111,319.8,2751,915.82,200.3,685.26,76.3,132.93,312.45,88.38,29.34,118.8
Melaka,40-44,3126.49,0.0947,296.0,2670,812.23,321.78,773.59,123.75,163.77,292.24,112.48,57.91,172.74
Kedah,15-19,6514.27,0.1974,1286.13,2627,864.44,968.97,1352.67,150.47,232.53,372.68,249.88,167.9,868.6
Kedah,20-24,3118.23,0.1964,612.27,2627,696.84,346.3,520.35,71.73,193.36,310.21,126.15,41.1,199.93
Negeri Sembilan,25-29,3703.29,0.1953,723.33,2402,687.15,322.55,716.8,98.72,265.9,400.45,90.07,100.46,297.85
Perak,45-49,3473.28,0.1474,512.02,2297,1076.85,242.7,817.38,99.52,161.56,278.7,92.42,33.86,158.26
Johor,35-39,6999.68,0.1942,1359.17,2589,639.05,797.17,1794.39,220.15,241.43,396.7,158.03,257.41,1136.18
Sarawak,40-44,2697.84,0.0617,166.41,2618,841.77,265.15,742.83,67.08,142.27,208.71,73.97,40.64,149.0
Kelantan,60-64,3851.32,0.1529,588.95,2271,937.83,396.42,675.17,51.57,232.64,556.99,96.07,40.67,275.0
Johor,55-59,4542.28,0.1516,688.74,2589,832.46,430.62,983.06,160.57,328.36,522.41,112.71,97.54,385.81
W.P. Labuan,60-64,3640.21,0.1907,694.34,2816,895.36,272.66,1060.09,47.88,193.59,246.35,62.2,27.87,139.86
Kelantan,25-29,3540.3,0.1498,530.3,2271,925.45,363.88,595.79,45.39,201.31,508.69,95.26,36.1,238.14
Pahang,25-29,2486.14,0.1217,302.5,2480,739.1,199.66,605.74,72.08,137.15,221.17,60.11,34.56,114.08
W.P. Labuan,35-39,3452.22,0.1078,372.06,2816,819.64,314.63,1041.51,50.6,250.51,304.83,70.3,43.49,184.65
Sabah,30-34,6682.17,0.194,1296.48,2742,769.36,815.43,2099.99,116.58,211.96,304.02,147.52,121.26,799.57
W.P. Putrajaya,20-24,4434.96,0.1002,444.27,2450,506.49,58.07,1561.84,116.07,421.76,682.19,126.05,156.74,361.47
Sabah,15-19,4083.43,0.1466,598.46,2742,792.07,397.43,1093.67,78.7,282.82,416.15,98.62,45.33,280.17
Terengganu,40-44,6150.66,0.1977,1216.22,2751,974.3,506.98,1081.74,130.34,442.0,993.18,173.32,147.22,485.35
Perlis,45-49,3623.24,0.1413,511.86,2140,886.38,431.78,656.61,84.61,234.34,422.03,94.26,52.34,249.04
Perlis,45-49,3793.2,0.1456,552.38,2140,900.38,451.15,705.04,87.82,256.8,419.82,103.78,50.99,265.03
W.P. Putrajaya,30-34,5194.97,0.1998,1037.71,2450,492.31,56.04,1621.56,120.59,451.9,731.16,122.71,183.63,377.35
Kelantan,30-34,2748.8,0.1038,285.21,2271,887.86,279.93,558.07,39.06,131.99,319.64,68.19,21.02,157.83
Pahang,45-49,5569.23,0.1713,954.18,2480,1016.03,529.9,1081.72,137.8,454.07,648.24,145.83,148.19,453.26
Perlis,55-59,4508.62,0.1689,761.71,2140,881.08,510.55,794.1,104.97,351.19,556.37,110.41,79.68,358.55
Johor,40-44,3848.22,0.1465,563.78,2589,843.63,371.02,902.02,126.34,215.65,384.42,103.0,68.23,270.13
Pulau Pinang,25-29,4900.58,0.1557,762.79,2250,584.29,356.21,1144.84,118.16,335.84,912.24,136.74,106.27,443.19
Terengganu,55-59,4044.97,0.159,643.09,2751,912.51,336.65,734.41,93.6,252.98,574.8,144.27,62.66,290.0
Perlis,45-49,7556.94,0.193,1458.27,2140,900.52,1119.4,1594.09,168.76,299.13,477.08,178.75,211.75,1149.19
W.P. Kuala Lumpur,25-29,4129.24,0.1029,424.88,2816,533.15,351.7,1345.31,83.92,263.82,640.37,69.8,83.12,333.18
Pulau Pinang,35-39,3307.94,0.1089,360.17,2250,621.88,234.98,1010.5,81.77,167.18,489.86,95.99,42.58,203.03
Perlis,50-54,4591.88,0.1638,752.15,2140,887.05,532.47,807.96,96.87,337.37,602.88,112.69,74.5,387.93
Perak,15-19,2812.35,0.1007,283.11,2297,790.91,266.02,612.68,81.18,155.08,300.59,91.96,40.71,190.12
W.P. Kuala Lumpur,20-24,3962.21,0.0983,389.61,2816,515.8,368.61,1322.93,87.23,233.28,595.25,61.82,78.74,308.93
Perlis,60-64,6474.09,0.1935,1252.67,2140,821.29,910.91,1369.89,149.59,261.91,416.81,147.16,176.23,967.63
Perak,45-49,6259.94,0.1924,1204.61,2297,973.97,521.23,1263.85,157.81,453.76,811.62,158.69,143.32,571.09
Selangor,25-29,4712.92,0.1478,696.55,2830,515.44,403.26,1131.3,103.25,359.5,829.76,110.25,116.97,446.62
Sarawak,55-59,3904.55,0.1458,569.24,2618,1004.34,366.83,894.87,92.79,228.92,319.48,104.71,68.97,254.4
Johor,45-49,5175.29,0.1637,847.02,2589,817.9,503.59,1090.65,165.75,370.77,654.08,122.52,122.12,480.88
Perak,40-44,3607.35,0.1402,505.76,2297,929.47,327.53,778.05,98.0,195.34,359.4,117.39,48.19,248.22
Pahang,15-19,2549.66,0.1223,311.72,2480,710.73,237.31,561.65,68.71,152.28,246.52,69.86,42.44,148.44
Kelantan,25-29,3381.81,0.1471,497.47,2271,964.52,340.37,634.16,42.84,168.72,412.55,83.25,31.87,206.05
Selangor,40-44,6066.8,0.1601,971.32,2830,679.61,560.38,1417.12,126.96,451.78,1017.32,139.11,147.96,555.24
Kedah,30-34,4244.38,0.1545,655.59,2627,969.96,485.74,756.35,101.4,276.8,451.22,175.91,69.49,301.91
Sarawak,15-19,3828.83,0.1429,546.98,2618,729.14,391.45,882.65,91.97,259.73,401.36,103.96,113.7,307.88
Sabah,45-49,5649.98,0.1758,993.18,2742,1030.62,513.37,1520.45,97.22,367.91,528.54,131.86,65.67,401.15
Kedah,50-54,3209.92,0.1913,614.01,2627,883.09,336.6,593.6,77.37,150.34,253.14,120.98,30.91,149.88
Negeri Sembilan,15-19,2833.71,0.0834,236.46,2402,675.89,291.29,599.39,86.88,218.41,316.36,83.62,81.24,244.18
Kedah,40-44,3007.73,0.1949,586.07,2627,836.17,309.07,551.24,66.03,139.04,243.89,110.64,27.88,137.7
Pulau Pinang,60-64,2934.77,0.0856,251.1,2250,579.81,217.91,874.79,77.77,163.23,455.86,88.82,38.08,187.39
Selangor,35-39,3571.05,0.091,325.12,2830,724.48,274.56,1133.57,98.23,205.88,477.76,81.52,51.87,198.08
W.P. Kuala Lumpur,35-39,3619.38,0.0899,325.26,2816,556.32,348.12,1244.54,80.91,191.01,492.45,61.92,61.94,256.91
W.P. Putrajaya,40-44,5561.78,0.1999,1112.05,2450,501.78,62.97,1782.06,123.63,490.15,745.96,134.98,187.25,420.93
Johor,35-39,6793.21,0.1903,1292.59,2589,647.27,799.68,1776.22,210.5,223.41,399.31,146.19,253.13,1044.9
Kelantan,55-59,2899.8,0.1958,567.68,2271,787.5,266.26,496.3,35.12,135.21,332.3,74.18,26.43,178.83
Sarawak,20-24,3898.83,0.1459,568.75,2618,840.18,380.31,890.61,88.04,262.87,370.14,98.4,85.1,314.44
W.P. Kuala Lumpur,50-54,4085.35,0.1058,432.23,2816,620.96,371.69,1415.03,87.97,209.94,535.01,68.22,72.89,271.41
Perlis,25-29,6468.32,0.1957,1265.94,2140,1012.43,687.59,1154.77,131.23,506.86,846.35,137.8,144.38,580.97
Pulau Pinang,50-54,3129.36,0.0941,294.38,2250,551.73,233.09,900.12,79.93,177.35,496.61,97.53,50.69,247.93
W.P. Labuan,25-29,3017.7,0.0666,201.02,2816,801.11,281.68,943.09,47.97,210.45,272.9,68.9,34.57,156.01
W.P. Labuan,40-44,4874.68,0.1508,735.16,2816,950.72,443.81,1307.55,73.46,399.59,497.41,97.71,69.56,299.71
Selangor,15-19,3065.79,0.0698,214.06,2830,411.2,294.28,848.25,75.24,230.1,551.94,80.7,70.61,289.42
Sabah,40-44,3560.21,0.1917,682.32,2742,755.95,329.09,926.96,62.11,197.69,283.14,93.32,31.37,198.26
Kedah,50-54,6560.51,0.1982,1300.14,2627,1062.71,730.52,1194.14,156.1,474.09,770.66,222.13,142.11,507.91
Sabah,50-54,6632.77,0.1937,1284.81,2742,984.11,652.57,1729.99,118.97,455.83,664.34,144.32,99.04,498.8
Perak,35-39,3089.26,0.1963,606.37,2297,919.59,189.45,698.29,81.9,125.95,236.61,75.1,27.78,128.21
Negeri Sembilan,50-54,4244.01,0.1439,610.85,2402,736.97,421.66,847.94,119.2,317.55,523.17,109.66,139.58,417.43
W.P. Labuan,30-34,3439.59,0.1071,368.45,2816,863.42,306.92,1011.76,56.01,243.04,292.5,75.45,39.6,182.44
Terengganu,25-29,4102.32,0.1529,627.08,2751,918.3,366.65,696.65,99.17,261.73,621.57,144.49,62.61,304.06
W.P. Labuan,45-49,8584.44,0.1968,1689.22,2816,1015.56,940.58,2751.98,123.93,339.05,411.54,154.27,205.11,953.19
Johor,25-29,4502.28,0.1588,715.02,2589,730.39,445.91,1005.1,153.1,311.41,528.84,115.25,98.78,398.47
Sarawak,50-54,3818.59,0.1404,535.99,2618,1175.39,268.39,1074.42,91.83,156.9,237.44,79.89,45.97,152.37
Pahang,55-59,4157.75,0.1467,609.88,2480,903.9,417.4,819.77,106.77,305.5,483.72,124.44,88.94,297.42
Negeri Sembilan,30-34,5356.56,0.1637,876.95,2402,874.81,468.87,1087.33,150.11,415.32,657.77,137.54,185.56,502.3
W.P. Labuan,25-29,3425.41,0.1014,347.41,2816,989.42,231.74,1167.52,56.58,200.8,225.44,60.46,26.53,119.52
Perlis,40-44,3111.06,0.1906,593.12,2140,849.32,315.44,582.86,66.58,162.71,279.55,71.82,30.18,159.49
Pulau Pinang,55-59,4896.28,0.1519,743.77,2250,727.81,352.89,1233.45,121.04,299.67,813.98,133.32,86.24,384.1
Kelantan,20-24,3394.37,0.1478,501.55,2271,838.1,350.91,570.91,44.96,205.76,508.93,90.76,35.09,247.4
Kedah,30-34,3754.72,0.1413,530.59,2627,819.51,443.51,712.47,98.76,253.9,427.94,150.62,59.73,257.69
Melaka,20-24,3387.17,0.1986,672.63,2670,561.37,389.03,537.23,111.63,212.01,402.45,128.94,89.44,282.45
Terengganu,20-24,2384.67,0.0476,113.51,2751,813.07,183.15,602.37,68.56,114.07,275.54,81.81,25.74,106.84
Selangor,45-49,6731.44,0.1723,1160.05,2830,624.02,639.12,1631.22,132.44,486.46,1148.56,155.86,175.55,578.15
W.P. Labuan,40-44,7189.15,0.1854,1333.17,2816,863.0,813.61,2332.51,105.02,299.99,344.5,130.87,169.26,797.21
Kedah,55-59,5060.32,0.1737,879.1,2627,982.96,550.22,927.61,124.9,361.55,552.36,210.57,89.83,381.24
Sabah,50-54,4378.1,0.1553,679.96,2742,1026.68,414.33,1164.18,81.65,240.13,362.02,110.67,39.91,258.57
Selangor,45-49,3444.62,0.0942,324.45,2830,679.1,264.73,1167.24,93.26,190.94,426.72,74.0,47.54,176.64
Melaka,30-34,3162.86,0.1022,323.13,2670,845.1,316.87,730.24,131.88,164.83,301.14,113.19,61.33,175.14
Johor,35-39,5361.11,0.1738,931.89,2589,760.43,513.07,1172.3,177.49,360.67,664.59,137.11,149.46,494.12
W.P. Putrajaya,20-24,5294.85,0.1959,1037.12,2450,412.55,58.2,1723.87,114.27,444.42,759.56,125.96,231.41,387.48
Pahang,55-59,3495.86,0.1945,679.95,2480,821.17,318.3,668.08,83.01,204.31,334.44,96.9,64.08,225.6
Melaka,25-29,4385.01,0.1404,615.51,2670,760.84,518.06,796.5,152.91,300.08,551.58,183.55,123.52,382.47
Kelantan,40-44,5513.15,0.1885,1039.4,2271,927.84,522.18,986.39,68.07,361.64,929.07,107.26,94.32,476.99
Negeri Sembilan,15-19,2002.84,0.0446,89.24,2402,613.31,162.4,559.26,71.36,117.3,181.68,50.1,38.09,120.1
Pahang,45-49,5123.67,0.1696,869.02,2480,954.86,511.17,924.67,131.32,407.82,651.89,141.64,131.34,399.93
W.P. Kuala Lumpur,30-34,3560.36,0.0873,310.87,2816,584.92,330.71,1179.48,79.62,187.79,511.32,59.84,63.88,251.93
Johor,45-49,3910.99,0.1491,583.2,2589,787.41,388.97,896.65,130.19,243.15,407.05,107.33,68.41,298.64
Kelantan,15-19,8347.86,0.1999,1668.73,2271,1167.7,1125.78,1706.84,116.05,273.73,667.35,194.59,183.02,1244.05
Kedah,35-39,2355.44,0.0424,99.85,2627,793.12,278.99,501.92,63.53,141.08,221.53,101.1,25.86,128.45
W.P. Kuala Lumpur,25-29,4983.84,0.1909,951.42,2816,593.28,399.38,1450.43,93.66,285.62,713.53,73.18,90.79,332.57
Johor,25-29,4635.67,0.1517,703.18,2589,735.55,415.33,1052.39,160.77,322.04,572.31,115.07,112.23,446.8
W.P. Labuan,15-19,5160.16,0.1597,824.1,2816,1001.51,444.46,1438.58,78.11,422.56,478.06,102.68,68.16,301.93
W.P. Labuan,20-24,4857.24,0.1597,775.88,2816,891.25,422.66,1387.82,69.79,392.5,465.09,94.49,69.6,288.17
